colors
"[""cinnamon cocoa"", ""april mist"", ""fort pierce green"", ""good luck"", ""hot tamale"", ""mango"", ""knitted cape"", ""hemp"", ""ceramic beige"", ""carnaby tan"", ""hypnotic"", ""apple lime cocktail"", ""pink dust"", ""fluorescent orange"", ""shady lady"", ""mahogany spice"", ""strawberry"", ""green trance"", ""classic brown"", ""chilled cucumber""]"
"[""exotic purple"", ""amber moon"", ""reno sand"", ""whisper white"", ""cool sky"", ""october mist"", ""cypress vine"", ""east lake rose"", ""pure earth"", ""maize"", ""amber leaf"", ""dew pointe"", ""gold vessel"", ""fresh scent green"", ""solid gold"", ""kaitoke green"", ""mud green"", ""muted sage"", ""antique treasure"", ""lightning storm""]"
"[""true blue"", ""caribbean sunset"", ""clarksville gray"", ""classic gray"", ""groundcover"", ""county green"", ""classic taupe"", ""autumn brown"", ""pumpkin butter"", ""purple taupe"", ""medium persian blue"", ""military tan"", ""lighter mint"", ""secret garden"", ""cotton balls"", ""woodlawn blue"", ""crescent cream"", ""mount saint anne"", ""shady lane"", ""franklin lakes""]"
"[""pewter blue"", ""bosc pear"", ""pensacola pink"", ""mown hay"", ""luminary"", ""portsmouth bay"", ""chocolate froth"", ""lava"", ""cruise"", ""thai curry"", ""aroma"", ""dark lava"", ""mustard field"", ""black locust"", ""metallic violet"", ""dutch white"", ""bonfire night"", ""azul caribe"", ""chapeau violet"", ""ionic ivory""]"
"[""burnt tile"", ""gardenia"", ""pink lavender"", ""misty blue"", ""bouquet rose"", ""cape may cobblestone"", ""formal garden"", ""virtuoso"", ""pale coral"", ""amazing gray"", ""pesto"", ""bluey purple"", ""summer day"", ""rice paddy"", ""jade romanesque"", ""inland"", ""pine forest"", ""versailles rose"", ""sweet rhapsody"", ""zen""]"
"[""dove grey"", ""cozy blanket"", ""watusi"", ""aero blue"", ""warm comfort"", ""painted sands"", ""green yellow"", ""light gold"", ""nacre"", ""juicy passionfruit"", ""stone creek"", ""fancy pants"", ""reviving green"", ""mother nature"", ""cimarron"", ""shore line"", ""edgewater"", ""romanesque"", ""heavenly aromas"", ""hokey pokey""]"
"[""polished aqua"", ""gunmetal"", ""ice cold"", ""queenly"", ""neon pink"", ""ginger"", ""sweet corn"", ""verdun green"", ""flora"", ""artisan"", ""chamomile"", ""mist yellow"", ""blue spa"", ""eminence"", ""summer field"", ""grey mist"", ""gentle doe"", ""glazed pecan"", ""secure blue"", ""duchess lilac""]"
"[""loblolly"", ""mimi pink"", ""bermuda breeze"", ""catwalk"", ""garden wall"", ""tobacco brown"", ""elkhound"", ""mayan green"", ""summer storm"", ""cream"", ""blush rush"", ""enchanted evening"", ""blue grey"", ""alpine white"", ""texas"", ""neon red"", ""arabian red"", ""september sun"", ""fervent brass"", ""greensleeves""]"
"[""bourbon street"", ""marble white"", ""hipsterfication"", ""melrose pink"", ""ridge view"", ""twinkle"", ""scenic drive"", ""cinco de mayo"", ""venice blue"", ""rookwood terra cotta"", ""ozark shadows"", ""sensitive tint"", ""carnation coral"", ""blueberry whip"", ""storm"", ""deep teal"", ""minute mauve"", ""dark ebony"", ""naive peach"", ""energetic orange""]"
"[""silvermist"", ""ocean cruise"", ""toasted almond"", ""steel grey"", ""delicate rose"", ""sun city"", ""shabby chic pink"", ""green kelp"", ""iron gate"", ""naturally calm"", ""healing plant"", ""moroccan sky"", ""twenty carat"", ""neon silver"", ""saybrook sage"", ""light chiffon"", ""underseas"", ""lime sorbet"", ""fragile beauty"", ""shea""]"
